,\string0,\string173,\string122,\string71,\string181,\string120,\string196,\string25,\string180,\string11,\string155,\string32,\string124,\string31,\string153,\string135,\string190,\string64,\string161,\string60,\string109,\string18,\string116,\string90,\string52,\string154,\string66,\string137,\string134,\string54,\string141,\string14,\string104,\string9,\string68,\string63,\string138,\string183,\string42,\string178,\string41,\string199,\string111,\string92,\string146,\string85,\string69,\string21,\string78,\string51,\string10,\string24,\string27,\string34,\string65,\string166,\string91,\string7,\string16,\string189,\string164,\string80,\string188,\string191,\string165,\string3,\string97,\string133,\string112,\string198,\string186,\string49,\string157,\string70,\string105,\string145,\string93,\string136,\string177,\string36,\string123,\string98,\string187,\string43,\string150,\string119,\string19,\string127,\string82,\string81,\string15,\string33,\string159,\string184,\string87,\string170,\string185,\string132,\string67,\string1,\string195,\string197,\string61,\string172,\string149,\string57,\string160,\string103,\string58,\string168,\string140,\string113,\string102,\string2,\string94,\string101,\string74,\string152,\string30,\string76,\string50,\string12,\string73,\string40,\string129,\string107,\string106,\string151,\string75,\string28,\string17,\string108,\string83,\string174,\string37,\string162,\string156,\string84,\string45,\string4,\string175,\string142,\string13,\string77,\string38,\string139,\string130,\string35,\string179,\string72,\string126,\string147,\string46,\string121,\string47,\string20,\string59,\string62,\string44,\string88,\string169,\string99,\string115,\string182,\string55,\string22,\string193,\string79,\string39,\string163,\string96,\string131,\string144,\string29,\string89,\string167,\string23,\string53,\string110,\string125,\string5,\string143,\string176,\string48,\string194,\string95,\string128,\string26,\string56,\string118,\string158,\string148,\string171,\string114,\string6,\string8,\string86,\string117,\string192,\string100
\string0,0,11.990,20.669,34.792,40.051,41.113,48.420,47.066,55.627,40.783,36.718,26.572,31.049,34.765,40.564,51.424,44.524,45.878,47.970,54.891,53.650,59.533,46.786,42.866,48.351,42.718,51.235,50.453,49.398,45.400,45.531,45.366,42.843,44.995,47.769,56.878,40.179,46.819,51.877,47.620,45.835,38.871,41.207,51.658,49.048,58.344,45.482,36.940,35.602,34.378,32.749,32.138,18.989,18.372,23.742,18.799,14.811,21.628,27.330,26.255,35.336,41.273,43.527,42.087,44.830,57.635,58.554,64.195,47.849,49.885,52.008,42.663,46.691,51.260,49.275,53.721,53.431,46.953,40.312,39.799,45.578,45.372,46.559,40.711,35.289,29.171,28.385,20.600,22.450,19.680,26.735,19.026,19.609,26.781,31.762,32.782,27.691,28.574,36.779,42.557,36.758,31.733,26.435,34.503,40.464,46.745,49.706,33.635,21.603,14.898,16.013,23.649,28.831,39.083,34.967,41.491,35.884,29.644,27.576,32.438,33.890,42.955,38.350,39.165,50.854,48.508,56.138,56.890,60.372,50.556,42.163,47.012,48.781,56.784,45.299,39.290,47.232,52.093,55.342,37.333,35.324,42.896,49.943,56.080,58.537,46.067,49.373,56.557,63.152,47.943,35.926,29.954,28.502,27.529,31.341,45.395,51.700,64.816,48.336,38.685,44.521,49.388,41.971,33.892,36.948,42.438,49.998,55.025,46.248,53.826,37.948,31.647,40.086,33.991,40.199,38.453,26.094,26.486,18.184,36.169,40.237,42.710,55.864,58.087,63.720,36.339,27.409,23.388,28.151,43.741,48.315,61.351,56.794,55.750,46.512,41.202,30.450,39.203,23.954,42.832
\string173,11.990,0,10.648,24.335,29.081,30.048,37.624,38.783,49.018,34.569,29.439,19.524,28.408,32.307,38.736,47.175,38.703,39.336,42.287,49.585,47.913,55.276,41.819,41.271,46.385,43.964,52.408,53.367,51.108,47.774,46.427,49.502,45.977,48.324,51.698,61.704,44.399,49.763,52.575,48.682,48.470,41.078,44.589,55.823,51.665,59.943,45.795,38.391,34.895,32.379,33.396,33.481,23.451,24.476,30.672,23.714,21.523,27.766,32.104,30.484,36.915,41.111,43.477,43.275,43.464,55.481,56.277,62.901,46.678,48.170,53.422,39.791,44.626,48.247,46.797,49.569,49.442,42.009,35.341,34.770,38.353,38.248,39.963,35.802,31.425,23.204,27.143,21.719,24.841,21.301,28.893,24.007,24.993,27.041,32.828,33.493,28.658,32.630,42.694,49.451,42.544,41.417,36.918,43.572,47.539,52.754,54.206,39.164,28.675,22.091,19.795,18.921,25.665,37.930,36.729,46.077,42.759,38.572,37.750,38.634,40.695,47.517,45.043,40.917,50.684,49.631,56.489,54.078,55.953,47.092,40.454,45.975,46.948,54.082,44.127,37.550,45.514,49.497,51.583,33.731,32.425,43.160,49.076,54.808,59.607,46.177,48.484,56.749,60.821,42.977,31.879,24.885,23.347,24.037,29.374,43.696,46.355,59.200,40.025,29.595,36.923,42.683,38.247,27.219,32.131,42.685,46.116,51.556,44.607,50.352,33.209,29.102,37.861,31.190,35.271,37.439,30.623,29.745,24.838,40.289,46.915,49.374,62.011,59.788,64.426,40.917,33.500,21.802,21.804,35.037,39.669,54.481,55.383,57.924,53.566,39.301,24.071,33.122,21.622,35.241
\string122,20.669,10.648,0,14.911,24.292,27.099,33.900,39.661,51.005,36.501,32.155,24.391,35.757,39.118,44.349,48.740,38.024,38.272,38.548,44.772,42.201,49.534,35.359,36.160,41.752,41.263,48.890,51.577,48.999,47.068,45.461,50.372,47.765,51.586,56.888,67.691,50.810,53.957,54.869,50.943,50.985,43.408,45.705,56.958,52.293,58.856,43.641,36.630,29.848,30.061,35.288,36.062,27.533,29.991,36.240,28.454,25.447,31.335,35.816,35.159,39.698,42.342,44.239,43.014,41.243,53.461,55.920,63.832,49.837,50.856,58.258,42.880,48.127,51.115,47.608,48.443,47.605,40.415,33.970,31.895,36.095,36.239,40.373,34.517,29.143,23.936,31.999,26.475,29.671,27.277,35.627,33.077,33.720,32.555,36.325,35.445,31.661,37.426,47.653,56.551,50.708,49.347,44.268,51.351,53.391,56.442,57.679,43.231,34.244,29.641,23.795,21.190,29.629,42.818,43.850,52.498,49.611,45.361,44.812,44.030,43.437,46.508,45.931,38.762,48.399,49.409,57.006,51.782,51.725,46.148,39.401,45.077,44.969,51.214,44.275,35.768,44.906,48.996,48.493,33.947,32.716,47.194,51.465,57.141,62.105,48.835,52.246,60.801,63.328,43.915,34.312,26.050,22.253,27.655,32.716,43.589,44.556,57.058,33.693,24.936,30.230,39.087,38.050,27.213,33.842,45.816,45.237,50.186,41.976,46.645,30.766,28.723,36.184,30.209,36.322,39.650,36.330,32.707,30.337,47.460,55.800,54.532,66.768,63.164,68.644,46.846,40.428,27.760,22.013,33.314,38.037,50.969,54.295,59.892,59.293,45.342,19.184,33.061,21.155,27.256
\string71,34.792,24.335,14.911,0,19.473,23.448,29.625,39.827,50.929,37.169,33.604,29.344,43.058,44.648,48.913,49.550,37.093,35.456,32.935,38.947,35.140,43.964,29.415,35.732,40.956,45.373,50.918,54.888,50.162,48.824,45.685,54.019,52.089,56.380,62.981,73.906,57.512,58.068,56.508,53.621,55.852,48.549,50.786,61.757,55.521,60.799,46.028,41.099,32.733,31.057,39.548,41.313,37.329,39.882,46.811,39.655,38.342,43.570,46.938,45.405,46.588,47.210,47.940,46.766,41.433,51.487,55.127,64.893,52.571,52.481,62.741,44.087,49.427,50.803,46.341,44.348,42.629,35.636,30.531,27.614,29.731,30.918,37.515,32.080,28.487,26.428,37.131,34.168,37.285,35.378,43.196,44.288,45.439,41.458,41.272,39.319,37.145,44.132,54.530,64.708,59.426,60.298,56.200,63.006,62.768,63.867,63.126,50.577,44.911,41.574,34.935,29.076,37.279,50.015,54.146,62.867,60.074,57.333,57.712,53.389,52.075,51.901,53.596,43.593,48.662,51.429,57.634,49.003,45.512,43.321,38.655,44.026,42.539,46.513,43.490,35.703,45.843,48.562,45.421,35.259,36.399,53.784,55.109,59.047,64.914,50.399,53.624,62.145,61.705,40.997,34.990,27.427,23.828,32.323,36.512,42.392,38.750,49.748,23.272,20.163,24.192,33.993,38.530,29.959,39.659,52.457,48.015,51.252,44.729,47.958,32.783,34.221,38.515,32.749,37.321,42.710,44.348,39.094,41.031,55.883,66.946,62.125,72.487,64.980,70.373,54.891,51.061,35.317,24.933,28.246,32.656,43.710,54.415,64.414,70.444,51.240,20.204,34.213,28.685,21.639
\string181,40.051,29.081,24.292,19.473,0,14.293,22.113,31.426,43.920,33.458,31.735,29.299,43.503,44.320,50.681,52.734,44.428,38.643,41.715,47.217,42.492,53.700,43.931,51.667,56.139,58.768,64.946,67.890,63.228,61.347,56.198,63.739,54.665,56.870,60.951,73.092,58.242,62.907,61.668,61.790,64.332,55.081,60.585,71.305,63.250,69.757,55.060,52.368,47.963,39.416,44.272,44.039,41.673,45.280,48.747,41.605,43.570,49.165,50.338,50.168,48.978,48.432,51.579,51.871,48.519,56.483,55.169,63.551,49.311,49.219,59.949,40.627,44.625,46.206,44.979,43.060,46.240,39.847,35.930,37.984,32.454,28.018,32.451,37.342,33.391,26.973,38.326,37.858,42.405,41.693,48.980,48.356,51.667,50.507,51.705,49.866,45.719,51.422,63.053,69.926,63.731,64.446,62.034,66.485,67.941,70.733,70.382,59.161,52.888,47.357,43.773,33.103,39.166,50.613,52.636,60.756,59.351,58.719,61.076,56.016,59.627,62.226,62.903,49.870,53.153,52.892,57.057,48.702,48.877,44.447,43.864,48.833,47.702,52.713,50.219,47.056,54.561,57.323,58.802,46.522,48.264,61.653,62.732,67.448,74.667,58.324,55.408,66.376,60.546,42.149,39.418,35.259,36.310,37.979,42.168,51.926,45.038,50.189,27.180,18.354,27.937,33.227,36.763,27.067,36.742,51.709,41.755,46.746,45.735,45.658,29.792,32.125,36.371,31.454,27.822,38.806,46.708,45.604,44.885,51.829,62.593,64.586,79.058,66.710,68.787,59.129,57.506,35.502,30.292,25.165,26.198,46.451,53.749,68.970,74.756,44.718,22.483,26.989,40.408,39.321
\string120,41.113,30.048,27.099,23.448,14.293,0,11.044,18.684,31.421,24.138,21.889,25.100,36.042,37.600,41.571,40.722,33.975,29.108,37.514,43.213,41.632,51.955,43.466,51.605,53.400,57.208,64.313,67.353,63.534,62.987,59.222,65.863,58.793,59.445,61.671,71.684,56.826,59.857,57.174,56.005,58.494,51.017,57.988,68.594,61.492,66.988,53.537,51.723,49.633,40.475,43.252,44.011,43.706,46.431,51.249,44.002,46.868,49.543,49.319,46.474,45.313,44.635,47.202,51.512,47.351,53.280,51.031,57.640,44.772,44.961,56.004,38.477,45.164,46.151,47.814,46.378,48.261,41.365,37.183,38.403,31.622,29.263,28.252,33.600,35.245,24.003,35.791,38.215,41.386,40.193,44.967,44.445,48.436,46.017,48.345,46.766,42.762,50.867,62.455,67.840,60.675,64.976,61.515,63.828,64.191,67.690,66.396,56.963,50.575,45.062,41.883,27.348,30.824,40.599,45.372,56.821,58.789,59.770,61.249,54.876,60.483,65.844,67.485,54.668,56.335,58.417,60.857,51.313,50.472,43.813,45.597,51.610,52.032,55.491,49.811,44.762,47.610,48.941,51.918,39.513,40.873,52.101,52.514,57.455,66.403,54.179,50.811,63.090,58.734,40.494,36.863,32.187,33.453,31.999,36.678,49.596,43.252,51.794,30.633,17.039,28.583,30.549,34.503,20.740,28.633,45.617,39.740,44.453,47.427,47.908,31.710,35.028,41.795,37.027,31.293,43.636,48.807,47.818,47.013,53.297,62.585,66.725,77.951,66.223,66.141,54.055,52.421,31.740,24.529,19.327,20.712,39.841,53.667,63.270,69.955,37.387,29.208,24.046,36.683,37.258
\string196,48.420,37.624,33.900,29.625,22.113,11.044,0,18.206,31.184,29.397,28.578,34.317,42.419,45.194,47.041,41.238,35.615,32.102,41.724,44.822,44.522,53.207,47.148,55.196,55.221,59.394,66.712,70.968,68.694,70.297,67.505,73.505,66.895,67.566,69.473,79.070,65.175,67.198,63.060,61.031,62.238,55.636,62.533,72.541,66.307,69.450,56.202,55.515,53.592,46.821,50.173,51.137,51.177,54.503,58.716,50.743,53.216,53.919,52.849,50.384,48.876,47.070,49.888,55.772,51.368,56.108,53.767,58.759,49.940,50.483,61.807,46.962,54.585,55.499,57.083,54.989,56.587,50.356,46.368,46.486,40.135,37.909,35.900,40.031,42.589,31.777,44.490,46.837,49.398,48.760,52.841,51.363,55.214,51.837,55.793,53.636,49.830,59.448,70.853,76.025,68.915,73.342,68.454,69.547,69.185,72.254,71.569,63.480,56.506,51.509,47.392,31.519,33.447,41.646,47.688,59.861,64.883,66.128,67.099,60.834,66.330,71.548,74.360,59.666,61.574,65.912,68.447,56.757,55.196,50.505,53.256,59.626,60.267,62.765,57.750,50.288,49.642,50.765,53.427,44.065,43.777,53.836,53.665,59.888,69.625,61.533,58.502,71.650,67.295,49.698,46.187,40.700,40.524,39.040,43.690,56.888,50.885,59.700,36.920,22.782,30.863,33.840,39.552,24.449,27.992,46.815,38.936,44.108,49.180,47.435,35.250,40.086,47.477,44.582,39.712,52.816,58.007,56.471,54.774,61.918,69.752,75.109,85.824,74.676,73.782,59.468,57.417,39.337,30.722,26.821,27.241,41.325,57.027,65.133,72.188,42.066,36.290,28.768,40.603,38.998
\string25,47.066,38.783,39.661,39.827,31.426,18.684,18.206,0,14.703,18.196,20.002,30.130,33.348,34.970,35.207,31.475,32.222,27.231,42.359,46.850,48.364,57.052,52.600,59.665,58.838,61.582,69.455,71.424,69.110,69.959,67.419,71.362,63.602,61.637,60.313,67.694,55.249,58.427,54.819,53.811,55.325,49.325,58.807,68.181,61.977,66.855,56.007,56.116,58.749,47.239,45.474,46.044,48.566,50.690,54.409,48.165,53.312,52.583,49.617,44.753,42.368,41.317,44.250,53.157,50.393,53.139,47.261,49.560,38.740,39.764,49.289,38.290,46.768,47.952,53.136,53.178,55.690,49.858,45.996,47.944,40.255,37.444,29.513,37.299,42.819,28.457,37.191,42.658,44.310,44.272,45.719,44.008,50.137,49.428,51.833,49.997,45.404,54.394,65.370,66.999,59.684,66.267,62.342,60.557,60.324,65.207,63.675,57.819,51.747,46.295,45.511,28.821,26.425,30.173,36.452,49.552,56.111,60.018,61.444,53.533,63.204,72.613,74.650,61.937,61.620,64.564,64.637,55.635,56.566,46.770,51.611,57.949,60.382,63.116,54.357,49.470,45.614,46.033,54.039,41.813,42.509,46.953,45.957,52.256,62.100,55.206,48.713,63.530,59.261,45.516,42.031,38.701,41.288,33.458,37.099,53.970,49.846,59.016,43.301,27.582,37.998,34.185,34.751,20.773,22.415,37.936,37.331,41.635,50.807,51.568,36.874,40.084,48.367,44.892,36.167,49.107,52.783,53.702,51.345,53.093,59.308,68.458,77.887,66.448,62.555,49.539,49.821,31.695,28.387,25.120,24.671,40.243,53.609,57.244,64.145,26.572,41.221,24.479,41.538,48.676
\string180,55.627,49.018,51.005,50.929,43.920,31.421,31.184,14.703,0,19.159,23.862,36.902,36.371,35.618,32.111,26.373,33.121,27.172,44.334,48.889,52.182,60.181,58.026,65.619,63.434,67.132,74.281,75.008,72.134,73.046,70.747,73.969,67.059,63.330,60.130,64.518,54.343,55.846,51.053,51.107,53.886,49.750,60.470,68.564,62.383,67.360,59.760,61.308,66.633,52.459,48.141,49.190,55.054,55.998,60.134,55.687,62.275,60.392,56.307,49.204,45.158,43.951,45.370,56.485,53.334,52.481,44.755,45.009,35.774,36.363,44.949,37.889,46.874,47.107,54.592,55.080,57.215,52.486,49.711,52.211,43.528,41.610,30.229,39.209,48.273,34.809,39.733,47.827,48.218,48.711,47.578,47.886,55.159,54.940,54.015,52.017,48.134,56.894,66.760,66.160,59.549,68.975,65.964,62.110,60.227,65.115,61.621,59.289,55.884,51.449,52.189,36.875,32.301,30.723,39.159,51.456,58.593,64.789,66.464,56.029,67.467,78.428,80.940,69.438,65.585,68.814,66.156,57.933,58.700,46.997,54.489,60.355,63.809,65.084,54.986,52.212,45.259,43.753,54.692,44.109,46.358,47.152,43.168,47.838,57.795,53.393,44.530,60.094,55.220,45.892,44.336,43.115,47.085,36.814,38.420,54.281,50.539,59.297,49.994,36.932,46.414,37.953,37.563,29.429,30.995,39.609,44.334,45.825,57.916,60.171,45.657,48.752,55.839,52.302,42.090,53.722,56.826,58.299,57.507,55.627,61.582,70.214,76.083,63.573,56.824,48.572,51.982,36.232,34.708,29.673,28.338,38.637,55.028,54.999,65.707,25.151,51.303,31.502,48.858,57.470
\string11,40.783,34.569,36.501,37.169,33.458,24.138,29.397,18.196,19.159,0,12.511,23.268,28.232,25.648,24.200,24.899,25.164,15.970,29.940,37.017,38.572,47.896,42.901,50.082,50.152,53.417,59.981,59.798,55.347,54.805,52.010,55.662,49.334,46.703,45.937,52.331,39.400,40.804,37.284,37.905,41.790,35.258,45.363,54.700,47.221,54.721,45.703,45.827,50.801,34.476,30.258,31.647,37.818,38.499,43.970,40.051,46.857,46.747,44.047,36.671,32.532,32.676,33.246,41.373,37.902,40.158,34.885,39.968,24.428,24.635,34.834,22.152,32.339,33.630,38.049,39.245,40.648,35.575,31.869,34.639,27.953,25.955,16.151,21.883,29.993,16.531,21.771,29.620,30.303,31.545,32.728,34.892,42.882,43.858,38.318,35.175,30.797,39.232,49.918,51.757,46.422,53.585,51.097,50.040,47.957,51.923,48.221,43.149,40.816,36.766,37.064,23.924,23.246,27.709,34.809,44.422,46.031,50.930,53.039,41.545,51.207,61.073,63.129,53.161,49.410,51.594,50.166,43.363,44.382,31.124,36.207,42.273,45.678,48.109,37.270,35.354,34.048,34.505,44.625,31.375,35.474,41.696,38.006,42.360,49.560,38.498,31.208,47.420,43.591,31.288,28.113,26.177,30.839,20.827,21.756,37.599,35.528,46.025,35.275,23.230,33.621,25.408,22.583,17.100,26.604,32.797,38.843,39.449,46.009,51.412,32.868,34.565,40.761,35.447,27.836,36.975,39.159,39.574,40.574,41.697,51.199,53.681,60.764,48.717,45.903,35.959,40.100,19.728,18.199,15.874,17.278,30.804,43.005,46.205,57.903,20.059,35.160,19.274,35.016,45.789
